t,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,correct
0,1,2,2,1,1,2,2,1,1,1,1,2,-1,1,2,3,1,2,3,4,2,2,2,2,2,3,1,2,1075,436,1011,802,909,715,657,600,650,1376,1020,1031,0,1017,2
1,1,1,1,1,2,1,1,2,1,1,1,1,-1,1,3,3,3,3,3,4,2,2,2,1,3,3,1,2,770,484,539,753,877,547,609,1064,786,1000,867,798,0,561,1
2,2,2,2,1,-1,2,1,2,1,2,1,-1,2,1,3,2,2,3,3,4,2,2,4,1,2,1,1,2,1002,484,1531,1058,0,667,1553,849,561,1048,1443,0,1964,577,1
3,1,1,2,2,-1,2,1,2,1,2,2,1,1,1,3,1,3,3,3,2,3,3,3,2,3,3,2,2,810,772,1683,1682,0,963,521,1049,786,1048,883,1014,1441,561,1
4,2,2,2,-1,2,2,1,2,2,1,2,2,1,1,3,2,3,1,3,4,1,2,1,1,3,3,3,3,1034,901,1356,0,237,1107,1489,1601,818,1360,1467,910,713,545,2
5,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,3,4,-1,3,4,2,4,4,2,1,2,-1,1,698,476,860,1778,1077,747,601,785,1138,1423,1596,1406,1785,1298,2
6,2,2,-1,2,1,2,2,1,2,2,2,2,2,1,3,3,2,-1,1,4,3,3,4,2,1,3,4,2,834,484,0,1802,309,611,649,1024,834,1008,1716,1214,697,362,2
7,1,1,1,1,1,1,1,2,2,1,-1,-1,2,1,3,3,3,3,2,4,2,3,4,1,2,2,4,1,506,636,1539,1634,389,899,729,928,866,840,0,0,1193,930,1
8,2,1,1,1,1,2,2,2,1,2,-1,2,1,1,3,1,2,3,-1,4,3,3,1,2,1,2,1,1,1066,980,1172,1721,429,1196,489,984,1122,824,0,742,1529,489,2
9,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,4,3,4,2,4,2,2,4,2,3,3,4,3,738,460,828,954,1485,916,1512,897,1193,1400,763,806,757,545,2
10,1,2,1,-1,2,1,2,1,1,1,2,1,2,-1,2,1,1,1,2,2,3,2,3,2,2,2,-1,1,690,717,1508,0,229,1508,649,753,1170,1544,1547,406,1873,0,1
11,1,2,2,1,-1,1,2,2,2,2,1,1,2,1,3,2,3,-1,1,3,2,3,2,2,1,3,4,1,906,589,1124,794,0,1091,921,745,1098,1623,1252,846,849,705,2
12,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,2,4,3,3,4,2,2,2,2,1,1258,876,1723,642,581,555,529,657,674,1136,1067,1022,1457,842,1
13,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,3,3,2,3,2,2,2,2,2,2,4,1,771,812,1627,1218,373,723,1345,952,1506,896,1411,1134,241,498,1
14,2,2,2,-1,1,1,1,1,2,2,2,2,1,1,2,2,3,2,2,3,2,2,4,1,2,3,3,1,1194,508,827,0,93,883,649,1128,1194,1224,1555,982,1897,682,2
15,2,1,1,2,1,1,2,2,1,1,2,1,-1,2,3,3,2,3,1,4,2,2,3,1,2,2,2,3,1138,580,692,1481,365,891,1009,1064,1010,1776,1043,878,0,833,1
16,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,3,3,-1,2,4,2,2,3,2,1,2,2,2,690,580,1220,1546,893,868,1633,1209,785,896,1083,966,585,1281,2
17,2,2,2,2,-1,1,2,1,2,2,2,2,1,1,2,2,4,-1,1,2,3,3,4,2,2,3,3,3,1378,813,700,1538,0,764,665,881,978,1119,1435,950,1985,353,2
18,1,1,-1,1,1,1,1,2,1,2,1,1,2,2,4,3,2,-1,2,4,3,3,4,2,2,3,-1,2,450,468,0,922,349,587,489,1025,754,1328,1004,742,969,953,1
19,2,2,1,-1,2,2,2,1,2,2,1,1,-1,1,2,2,1,2,2,3,3,3,4,3,2,2,1,3,1362,572,1067,0,333,1483,577,1033,1538,848,1396,727,0,458,1
20,1,1,2,1,1,2,2,2,1,2,2,2,2,2,3,1,3,2,3,3,2,1,3,1,2,3,1,2,931,996,1267,570,613,795,649,1280,1442,1576,771,958,361,577,2
21,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,3,3,3,3,3,2,3,2,2,2,3,-1,3,1954,532,1491,1466,909,611,585,744,1194,1512,1147,1694,1089,474,2
22,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,4,3,3,1,4,3,4,4,3,3,3,3,2,794,452,532,449,1261,555,561,785,866,1216,795,758,561,1225,2
23,1,2,2,-1,1,1,2,1,1,1,1,1,2,-1,1,2,2,1,3,4,-1,2,2,3,2,3,2,2,1210,645,1316,0,445,1060,1793,665,921,1024,1691,1158,537,0,2
24,2,2,2,2,2,1,2,1,2,1,1,2,2,1,3,3,3,2,3,4,2,2,2,2,2,2,3,1,570,605,524,1290,837,867,649,1185,1265,1192,1763,1646,625,753,1
25,1,2,1,2,-1,2,1,1,2,2,2,1,1,1,2,2,3,2,3,3,-1,3,2,2,1,2,3,1,778,804,1316,1138,0,963,1025,753,1362,1808,1940,1158,721,1401,1
